Алгоритм,Случай,Размер (байт),Время (сек),ΔВремя,Память (байт),ΔПамять
kmp,worst,4096,0.00097536,3.666e-05,32224.0,0.0
kmp,worst,8192,0.00163778,2.776e-05,32252.0,57.0
kmp,worst,16384,0.00349123,0.00016049,32224.0,0.0
kmp,worst,32768,0.00943764,0.00017734,32257.0,67.0
kmp,worst,65536,0.02011911,0.00075045,32261.0,75.0
kmp,worst,131072,0.02898401,0.00129524,32350.0,143.0
kmp,worst,262144,0.05366796,0.00140692,32505.0,219.0
kmp,worst,524288,0.14589192,0.0014477,32773.0,310.0
kmp,worst,1048576,0.29726746,0.01253296,32928.0,364.0
kmp,worst,2097152,0.28676005,0.00222845,33826.0,403.0
kmp,worst,4194304,0.94507185,0.02273998,34531.0,6.0
kmp,worst,8388608,1.7610683,0.02508755,34540.0,0.0
kmp,worst,16777216,3.30368868,0.1352764,34540.0,0.0
naive,best,1024,2.8e-07,3e-08,203.0,0.0
naive,best,2048,2.5e-07,1e-08,305.0,0.0
naive,best,4096,2.7e-07,1e-08,570.0,0.0
naive,best,8192,3.1e-07,1e-08,980.0,0.0
naive,best,16384,4.4e-07,2e-08,1799.0,0.0
naive,best,32768,4.5e-07,2e-08,3437.0,0.0
naive,best,65536,5.7e-07,2e-08,6714.0,0.0
naive,best,131072,8.7e-07,4e-08,13268.0,0.0
naive,best,262144,1.71e-06,3e-08,26375.0,0.0
naive,best,524288,3.34e-06,3e-08,52589.0,0.0
naive,best,1048576,6.7e-06,1.1e-07,105018.0,0.0
naive,best,2097152,1.269e-05,7.1e-07,209876.0,0.0
naive,best,4194304,2.403e-05,5.15e-06,419591.0,0.0
naive,best,8388608,0.00025744,8.97e-06,839021.0,0.0
naive,best,16777216,0.00041275,7.87e-06,1677882.0,0.0
naive,random,1024,3.47e-05,4.366584808564879e-06,175.0,17.462903316473344
naive,random,2048,1.152e-05,1.180385216452515e-06,185.0,4.003558636175572
naive,random,4096,0.00021016,1.4076373416021371e-05,205.0,5.741353178259675
naive,random,8192,0.00041234,2.9779626725585106e-05,246.0,5.156371135196192
naive,random,16384,0.00024509,1.5602652677886635e-05,328.0,6.876424984034216
naive,random,32768,0.00181349,0.0001332280672776124,520.0,44.47097589544857
naive,random,65536,0.00288006,0.00030695954992818875,848.0,64.83200660292808
naive,random,131072,6.285e-05,3.266879753246051e-06,1503.0,81.09623173102719
naive,random,262144,0.00402733,0.0002133610811477665,2814.0,100.24214464496029
